State,Gender,AverageWeeklyEarnings
National,Male,1094.09
National,Female,835.56
Alaska,Male,1130.36
Alaska,Female,900.44
Alabama,Male,1010.65
Alabama,Female,738.51
Arkansas,Male,940.59
Arkansas,Female,727.90
Arizona,Male,1039.32
Arizona,Female,782.38
California,Male,1168.30
California,Female,927.18
Colorado,Male,1179.44
Colorado,Female,898.34
Connecticut,Male,1207.76
Connecticut,Female,914.74
District of Columbia,Male,1516.05
District of Columbia,Female,1317.35
Delaware,Male,1033.89
Delaware,Female,814.75
Florida,Male,1008.51
Florida,Female,793.30
Georgia,Male,1054.72
Georgia,Female,796.96
Hawaii,Male,1042.36
Hawaii,Female,834.81
Iowa,Male,1011.80
Iowa,Female,753.18
Idaho,Male,990.44
Idaho,Female,689.96
Illinois,Male,1144.16
Illinois,Female,854.40
Indiana,Male,1018.62
Indiana,Female,747.45
Kansas,Male,1023.58
Kansas,Female,771.30
Kentucky,Male,972.27
Kentucky,Female,734.72
Louisiana,Male,1047.22
Louisiana,Female,726.38
Massachusetts,Male,1262.30
Massachusetts,Female,983.03
Maryland,Male,1241.320
Maryland,Female,1010.39
Maine,Male,1003.34
Maine,Female,775.50
Michigan,Male,1065.36
Michigan,Female,791.56
Minnesota,Male,1140.98
Minnesota,Female,890.09
Missouri,Male,1023.29
Missouri,Female,783.48
Mississippi,Male,937.53
Mississippi,Female,696.64
Montana,Male,980.55
Montana,Female,706.20
North Carolina,Male,1037.57
North Carolina,Female,797.16
North Dakota,Male,1065.8
North Dakota,Female,760.96
Nebraska,Male,987.38
Nebraska,Female,760.29
New Hampshire,Male,1162.24
New Hampshire,Female,864.52
New Jersey,Male,1250.50
New Jersey,Female,971.89
New Mexico,Male,940.46
New Mexico,Female,738.21
Nevada,Male,981.66
Nevada,Female,759.31
New York,Male,1142.49
New York,Female,924.77
Ohio,Male,1020.83
Ohio,Female,771.63
Oklahoma,Male,1030.21
Oklahoma,Female,737.30
Oregon,Male,1076.47
Oregon,Female,818.14
Pennsylvania,Male,1091.82
Pennsylvania,Female,809.17
Rhode Island,Male,1110.17
Rhode Island,Female,850.73
South Carolina,Male,1026.82
South Carolina,Female,763.51
South Dakota,Male,976.36
South Dakota,Female,725.18
Tennessee,Male,1008.20
Tennessee,Female,759.70
Texas,Male,1063.22
Texas,Female,792.64
Utah,Male,1058.22
Utah,Female,680.14
Virginia,Male,1219.26
Virginia,Female,905.97
Vermont,Male,1040.18
Vermont,Female,818.0
Washington,Male,1226.14
Washington,Female,914.81
Wisconsin,Male,1025.08
Wisconsin,Female,770.01
West Virginia,Male,965.83
West Virginia,Female,707.80
Wyoming,Male,1069.4
Wyoming,Female,706.38
